Prefecture,Latitude,Longitude
北海道,43.06417,141.34694
青森県,40.82444,140.74
岩手県,39.70361,141.1525
宮城県,38.26889,140.87194
秋田県,39.71861,140.1025
山形県,38.24056,140.36333
福島県,37.75,140.46778
茨城県,36.34139,140.44667
栃木県,36.56583,139.88361
群馬県,36.39111,139.06083
群馬県前橋市,36.3894,139.0634
群馬県高崎市,36.3219,139.0032
群馬県桐生市,36.4053,139.3306
群馬県伊勢崎市,36.3114,139.1967
群馬県太田市,36.2911,139.3756
群馬県沼田市,36.6461,139.0442
群馬県館林市,36.2447,139.5422
群馬県渋川市,36.4894,139.0006
群馬県藤岡市,36.2900,139.1886
群馬県富岡市,36.3333,138.9703
埼玉県,35.85694,139.64889
千葉県,35.60472,140.12333
東京都,35.68944,139.69167
東京都千代田区,35.6938,139.7532
東京都新宿区,35.6908,139.7047
東京都渋谷区,35.6585,139.7005
東京都池袋,35.7303,139.7103
東京都八王子市,35.6554,139.3381
東京都立川市,35.7003,139.4081
東京都町田市,35.5400,139.4466
東京都武蔵野市,35.7023,139.5513
東京都三鷹市,35.7036,139.5623
東京都調布市,35.6468,139.5534
神奈川県,35.44778,139.6425
新潟県,37.90222,139.02361
富山県,36.69528,137.21139
石川県,36.59444,136.62556
福井県,36.06528,136.22194
山梨県,35.66389,138.56833
保科くんがいる場所,36.65139,138.18111
池田様がご存命している場所,36.56583,139.88361
長野県,36.65139,138.18111
岐阜県,35.39111,136.72222
静岡県,34.97694,138.38306
愛知県,35.18028,136.90667
三重県,34.73028,136.50861
滋賀県,35.00444,135.86833
京都府,35.02139,135.75556
大阪府,34.68639,135.52
兵庫県,34.69139,135.18306
奈良県,34.68528,135.83278
和歌山県,34.22611,135.1675
鳥取県,35.50361,134.23833
島根県,35.47222,133.05056
岡山県,34.66167,133.935
広島県,34.39639,132.45944
山口県,34.18583,131.47139
徳島県,34.07028,134.55444
香川県,34.34028,134.04333
愛媛県,33.84167,132.76611
高知県,33.55972,133.53111
福岡県,33.60639,130.41806
佐賀県,33.24944,130.29889
長崎県,32.74472,129.87361
熊本県,32.78972,130.74167
大分県,33.23806,131.6125
宮崎県,31.91111,131.42389
鹿児島県,31.56028,130.55806
沖縄県,26.2125,127.68111

